,time,gauge_precipitation_matched,Latitude,Longitude,Height,Reflectivity,Zdr,Kdp,Rhohv,PrecipRateA,PrecipRateZ,GaugeName,date,STID,nlat,elon,labels
5385,2023-07-09 09:10:00,9.4,,,971.4054275791634,36.81813665324354,6.470486111111111,0.2676645384894477,0.9284259213341608,,3.76986226683329,,07/09/2023,CHIC,35.03323378561694,-97.91358259013944,1
5386,2023-07-09 09:15:00,20.57,,,971.4054275791634,39.86669867562761,6.005642361111111,0.4350645807054308,0.9292592563562924,,7.076657959788747,,07/09/2023,CHIC,35.033333220688306,-97.91365302096544,2
5387,2023-07-09 09:20:00,25.65,,,971.4054275791634,39.90582494168521,5.407986111111111,0.4953971174028185,0.9228703710767956,,8.145296569531622,,07/09/2023,CHIC,35.033258639921,-97.91360018690268,2
5388,2023-07-09 09:25:00,28.19,,,971.4054275791634,40.08836986324182,4.677517361111112,0.5141865677303739,0.9192592634095086,,8.766220503327718,,07/09/2023,CHIC,35.03318407700881,-97.91354733095338,2
5389,2023-07-09 09:30:00,29.46,,,971.4054275791634,40.15461931242199,3.902777777777778,0.5370787249671088,0.9374537078870668,,9.0720413457937,,07/09/2023,CHIC,35.0336069394249,-97.91384682611285,2
5390,2023-07-09 09:35:00,30.73,,,971.4054275791634,40.194414145935305,3.5850694444444446,0.5457449224260119,0.9459259319636556,,9.283010367581554,,07/09/2023,CHIC,35.033333220688306,-97.91365299907892,2
5391,2023-07-09 09:40:00,31.24,,,971.4054275791634,40.38221201410568,2.957465277777778,0.6129060851203071,0.9624537088804774,,9.93398614030192,,07/09/2023,CHIC,35.03343263790457,-97.91372347367798,2
5392,2023-07-09 09:45:00,32.0,,,971.4054275791634,40.67218053203359,2.522569444444444,0.668970372941759,0.96578704400195,,10.8461416927172,,07/09/2023,CHIC,35.03303495118441,-97.9134416190548,2
5393,2023-07-09 09:50:00,33.53,,,971.4054275791634,40.71670864643475,1.8624131944444444,0.6721118556128608,0.964537045194043,,11.096303156018957,,07/09/2023,CHIC,35.033258639921,-97.91360018690268,2
5394,2023-07-09 09:55:00,34.29,,,971.4054275791636,40.77470525937578,1.0642361111111112,0.6862673229641385,0.9643981564376088,,11.395808140423016,,07/09/2023,CHIC,35.03342434718485,-97.9137175934992,2
5395,2023-07-09 10:00:00,34.8,,,971.4054275791634,40.894244498885016,0.8072916666666666,0.7158306439717611,0.9841666743159294,,11.921747444802664,,07/09/2023,CHIC,35.03337055570972,-97.9136795036564,2
5396,2023-07-09 10:05:00,35.56,,,971.4054275791634,40.73581541275152,0.6783854166666666,0.6575174331665039,0.9888888970017432,,11.66708769818918,,07/09/2023,CHIC,35.033358199978096,-97.91367070527475,2
5397,2023-07-09 10:10:00,27.43,,,971.4054275791634,39.38454724526928,0.69921875,0.3953582975599501,0.9900925995575056,,9.37425008050558,,07/09/2023,CHIC,35.03350735258515,-97.9137763515138,2
5398,2023-07-09 10:15:00,17.28,,,971.4054275791634,36.54485031227372,0.7018229166666666,0.2644382052951389,0.9900925995575056,,6.5659492568341165,,07/09/2023,CHIC,35.03348248935353,-97.91375875475056,3
5399,2023-07-09 10:20:00,13.21,,,971.4054275791634,35.81505546676551,0.69921875,0.1986856990390353,0.991759267118242,,5.855966820954662,,07/09/2023,CHIC,35.03355707904839,-97.91381154504028,3
5400,2023-07-09 10:25:00,11.429999999999996,,,971.4054275791634,35.636983887055166,0.642361111111111,0.1980058352152506,0.9923611183961232,,5.682417489618616,,07/09/2023,CHIC,35.03313438625578,-97.91351207176731,3
5401,2023-07-09 10:30:00,10.670000000000002,,,971.4054275791634,35.65412213487856,0.6471354166666666,0.1988301277160644,0.9925000071525574,,5.700438837476355,,07/09/2023,CHIC,35.03359432479428,-97.91383789641208,3
5402,2023-07-09 10:35:00,9.91,,,971.4054275791634,35.6998994491409,0.7018229166666666,0.2020978927612304,0.993194450934728,,5.757293594976506,,07/09/2023,CHIC,35.03317157843637,-97.91353851068524,3
5403,2023-07-09 10:40:00,10.16,,,971.4054275791634,35.36295161060575,0.7048611111111112,0.1551163991292317,0.9937037097083198,,5.431449803909281,,07/09/2023,CHIC,35.03314684911802,-97.91352097958156,3
5404,2023-07-09 10:45:00,9.909999999999997,,,971.4054275791634,34.49307951458189,0.6944444444444445,0.1148010889689127,0.9925925996568468,,4.780405355420505,,07/09/2023,CHIC,35.0337187837932,-97.91392594588784,3
5405,2023-07-09 10:50:00,8.89,,,971.4054275791634,35.10540195128253,0.7886284722222223,0.115764300028483,0.9927777846654257,,5.273991526053946,,07/09/2023,CHIC,35.03334559427503,-97.9136617536875,3
5406,2023-07-09 10:55:00,8.64,,,971.4054275791634,35.12456655357556,0.8758680555555557,0.1050850550333658,0.9927777846654257,,5.29168199375195,,07/09/2023,CHIC,35.03334572818831,-97.91366181934706,3
5407,2023-07-09 11:00:00,8.380000000000003,,,971.4054275791634,34.756484651243305,0.8602430555555557,0.0876043637593587,0.9930092659261492,,4.934221353072976,,07/09/2023,CHIC,35.03347000863619,-97.91374991259588,3
5408,2023-07-09 11:05:00,7.619999999999997,,,971.4054275791636,34.19546600228657,0.7938368055555557,0.0709213415781657,0.9925925996568468,,4.436031355240452,,07/09/2023,CHIC,35.03319236177683,-97.91355322572316,3
5409,2023-07-09 11:10:00,6.859999999999999,,,971.4054275791636,33.598270515344325,0.7313368055555557,0.0788388517167833,0.993194450934728,,4.009889792069068,,07/09/2023,CHIC,35.03319245700405,-97.91355324031416,3
5410,2023-07-09 11:15:00,5.839999999999996,,,971.4054275791634,32.989650750854054,0.7044270833333334,0.0667001141442193,0.9926388959089916,,3.575378666452749,,07/09/2023,CHIC,35.033382956079095,-97.9136881926054,3
5411,2023-07-09 11:20:00,5.079999999999998,,,971.4054275791636,32.61955780470329,0.65625,0.058563126458062,0.9926388959089916,,3.32084632924407,,07/09/2023,CHIC,35.0331758755646,-97.9135415383207,3
5412,2023-07-09 11:25:00,4.32,,,971.4054275791636,31.947711670954355,0.6197916666666666,0.0423794852362738,0.992083340883255,,2.8964856241387484,,07/09/2023,CHIC,35.0335487139324,-97.91380562108846,3
5413,2023-07-09 11:30:00,3.809999999999995,,,971.4054275791634,31.463612939127632,0.5863715277777778,0.0314541127946641,0.9925000071525574,,2.5999815071005608,,07/09/2023,CHIC,35.033209038443495,-97.91356508092228,3
