time,gauge_precipitation_matched,Latitude,Longitude,Height,Reflectivity,Zdr,Kdp,Rhohv,PrecipRateA,PrecipRateZ,GaugeName
4/12/2023 21:15,4.571999999999999,26.205542694544647,-80.13303119,661.2197389456265,32.95650801778783,0.067447917,-0.05317653,0.9904722288250924,3.2700692494710286,3.154065101465002,S37A
4/12/2023 21:30,3.302,26.20558103890981,-80.13313134,661.2197389456265,29.511104882774816,0.042708333,-0.066198874,0.9910277838508288,1.7612916409969328,1.7010681512591344,S37A
4/12/2023 21:45,1.778,26.20559716768497,-80.13317351,661.2197389456265,24.89434214723396,-0.109635417,-0.046466939,0.9917777801553408,0.6839639647553365,0.7589951590845024,S37A
4/12/2023 22:00,1.27,26.205574977777744,-80.13311553,661.2197389456265,23.80552187979972,-0.325520833,-0.022273525,0.9875555569926896,0.6098444706449906,0.5695445815881128,S37A
4/12/2023 22:15,1.016,26.205558842581883,-80.13307336,661.2197389456265,23.943091265251745,-0.6796875,-0.024094923,0.947138892,0.6743854990849892,0.575547775,S37A
4/12/2023 22:30,,,,,,,,,,,S37A
4/12/2023 22:45,,,,,,,,,,,S37A
4/12/2023 23:00,,,,,,,,,,,S37A
4/12/2023 23:15,,,,,,,,,,,S37A
4/12/2023 23:30,,,,,,,,,,,S37A
4/12/2023 23:45,,,,,,,,,,,S37A
4/13/2023 0:00,,,,,,,,,,,S37A
4/13/2023 0:15,,,,,,,,,,,S37A
4/13/2023 0:30,,,,,,,,,,,S37A
4/13/2023 0:45,,,,,,,,,,,S37A
4/13/2023 1:00,,,,,,,,,,,S37A
4/13/2023 1:15,,,,,,,,,,,S37A
4/13/2023 1:30,,,,,,,,,,,S37A
4/13/2023 1:45,,,,,,,,,,,S37A
4/13/2023 2:15,,,,,,,,,,,S37A
4/13/2023 2:30,,,,,,,,,,,S37A
4/13/2023 2:45,,,,,,,,,,,S37A
4/13/2023 3:00,,,,,,,,,,,S37A
4/13/2023 3:15,,,,,,,,,,,S37A
4/13/2023 3:30,,,,,,,,,,,S37A
4/13/2023 3:45,,,,,,,,,,,S37A
4/13/2023 4:00,,,,,,,,,,,S37A
4/13/2023 4:15,,,,,,,,,,,S37A
4/13/2023 4:30,,,,,,,,,,,S37A
4/13/2023 4:45,,,,,,,,,,,S37A
4/13/2023 5:00,,,,,,,,,,,S37A
4/13/2023 5:15,,,,,,,,,,,S37A
4/13/2023 5:30,,,,,,,,,,,S37A
4/13/2023 5:45,,,,,,,,,,,S37A
4/13/2023 6:00,,,,,,,,,,,S37A
4/12/2023 7:00,0,26.22411412,-80.17224455,665.5830066948135,15.851127459815714,-0.0671875,0.020927525,0.9951666682958604,0.3545105650400122,0.1949914931140313,S37B
4/12/2023 7:15,0,26.224101627996685,-80.17220541,665.5830066948135,13.884874905469292,-0.086197917,0.024574979,0.9951666682958604,0.2684497014308969,0.1517468516384702,S37B
4/12/2023 7:30,0.254,26.22410579427237,-80.17221845,665.5830066948135,18.22588751810491,0.018489583,0.014949544,0.9941666692495346,0.6713999624674519,0.2898747206769438,S37B
4/12/2023 7:45,0.254,26.224105825306083,-80.17221845,665.5830066948135,18.489145803926903,-0.076822917,0.018798097,0.9945000022649766,0.7118893665572008,0.3095425670967788,S37B
4/12/2023 8:00,0.254,26.22411726769388,-80.17225433,665.5830066948135,18.363745950487303,-0.044010417,0.016882165,0.9958333373069764,0.7071171995252371,0.2979815672880256,S37B
4/12/2023 8:15,0.254,26.22413700642705,-80.17231631,665.5830066948135,18.337675581602788,0.00625,0.026605225,0.9956666707992554,0.7547528452860812,0.2889289521660518,S37B
4/12/2023 8:30,0,26.224099533221203,-80.17219889,665.5830066948135,14.607190707986009,0.14921875,0.040724373,1.0054166615009308,0.386185754,0.1289933753676243,S37B
4/12/2023 8:45,0,26.224093310962186,-80.17217932,665.5830066948135,13.933324312635143,0.115234375,0.025299168,1.0109583228826522,0.2945947885099384,0.096402932,S37B
4/12/2023 9:00,0,26.22409124722041,-80.1721728,665.5830066948135,14.64718212778334,0.152734375,0.007732296,1.0142916530370711,0.2755488778154055,0.1102942793682929,S37B
4/12/2023 9:15,0,26.224095405737664,-80.17218584,665.5830066948135,13.971245426128045,0.032421875,-0.02957983,1.0126249849796294,0.1299128575871388,0.097372423,S37B
4/12/2023 9:30,0,26.22408915244493,-80.17216628,665.5830066948135,19.34799252746553,-0.037109375,-0.045910358,1.002874994277954,0.2578001222573221,0.2654843724594171,S37B
4/12/2023 9:45,0.7619999999999999,26.22408915244493,-80.17216627,665.5830066948135,30.5734651,0.11875,-0.067751312,0.9969999998807906,1.3795866242609918,1.6486862135372324,S37B
4/12/2023 10:00,2.794,26.22415368,-80.17236849,665.5830066948135,35.75090894,0.234375,0.021791458,0.9916666716337204,3.4487817443907263,4.301143373861894,S37B
