STID,time,gauge_precipitation_matched,nlat,elon,Height,Reflectivity,Zdr,Kdp,Rhohv,PrecipRateZ
ADAX,6/8/2022 1:05,0,34.799552914163215,-96.66796888,1097.9401923055857,7,15.125,3.973642985026042e-07,0.9433332979679108,0.032082154
ADAX,6/8/2022 1:45,,34.79950521437148,-96.66803162,,,,,,
ADAX,6/8/2022 1:55,,34.79952904252633,-96.66800022,,,,,,
ADAX,6/8/2022 2:05,,34.79952904252633,-96.66800022,,,,,,
ADAX,6/8/2022 2:10,,34.79952904252633,-96.66800022,,,,,,
ADAX,6/8/2022 2:20,,34.799552914163215,-96.66796888,,,,,,
ADAX,6/8/2022 2:30,,34.799552914163215,-96.66796888,,,,,,
ADAX,6/8/2022 2:40,,34.799576742318074,-96.66793754,,,,,,
ADAX,6/8/2022 2:50,,34.799576742318074,-96.66793754,,,,,,
ADAX,6/8/2022 3:00,,34.79960070091903,-96.66790609,,,,,,
ADAX,6/8/2022 3:10,,34.79952904252633,-96.66800022,,,,,,
ADAX,6/8/2022 3:20,,34.79960070091903,-96.66790609,,,,,,
ADAX,6/8/2022 3:30,,34.799576742318074,-96.66793754,,,,,,
ADAX,6/8/2022 3:40,,34.799576742318074,-96.66793754,,,,,,
ADAX,6/8/2022 3:50,,34.79960070091903,-96.66790609,,,,,,
ADAX,6/8/2022 4:00,,34.799552914163215,-96.66796888,,,,,,
ADAX,6/8/2022 4:10,,34.79960070091903,-96.66790609,,,,,,
ADAX,6/8/2022 4:20,,34.79952904252633,-96.66800022,,,,,,
ADAX,6/8/2022 4:30,,34.79950521437148,-96.66803162,,,,,,
ADAX,6/8/2022 4:40,,34.79960070091903,-96.66790609,,,,,,
ADAX,6/8/2022 4:50,,34.799576742318074,-96.66793754,,,,,,
ADAX,6/8/2022 5:00,,34.79950521437148,-96.66803162,,,,,,
ADAX,6/8/2022 5:10,,34.799576742318074,-96.66793754,,,,,,
ADAX,6/8/2022 5:15,,34.799576742318074,-96.66793754,,,,,,
ADAX,6/8/2022 5:25,,34.79960070091903,-96.66790609,,,,,,
ADAX,6/8/2022 5:35,,34.79960070091903,-96.66790609,,,,,,
ADAX,6/8/2022 5:45,,34.79952904252633,-96.66800022,,,,,,
ADAX,6/8/2022 5:55,,34.799552914163215,-96.66796888,,,,,,
ADAX,6/8/2022 6:05,,34.79952904252633,-96.66800022,,,,,,
